outcome,day_of_year,date_numeric,spp_name,location
0.75,15,1231963200,White-tail tropicbird,Cousine
0.4,46,1234641600,White-tail tropicbird,Cousine
0,74,1237060800,White-tail tropicbird,Cousine
0.21428571428571427,105,1239739200,White-tail tropicbird,Cousine
1,135,1242331200,White-tail tropicbird,Cousine
0.5384615384615384,166,1245009600,White-tail tropicbird,Cousine
0.4444444444444444,196,1247601600,White-tail tropicbird,Cousine
0.3333333333333333,227,1250280000,White-tail tropicbird,Cousine
0.47368421052631576,258,1252958400,White-tail tropicbird,Cousine
0.5454545454545454,288,1255550400,White-tail tropicbird,Cousine
0,319,1258228800,White-tail tropicbird,Cousine
0.19230769230769232,349,1260820800,White-tail tropicbird,Cousine
0.6,15,1263499200,White-tail tropicbird,Cousine
0.5,46,1266177600,White-tail tropicbird,Cousine
0.3333333333333333,74,1268596800,White-tail tropicbird,Cousine
0.4,105,1271275200,White-tail tropicbird,Cousine
0.7333333333333333,135,1273867200,White-tail tropicbird,Cousine
0.8571428571428571,166,1276545600,White-tail tropicbird,Cousine
0.6666666666666666,196,1279137600,White-tail tropicbird,Cousine
0.6666666666666666,227,1281816000,White-tail tropicbird,Cousine
0.5833333333333334,258,1284494400,White-tail tropicbird,Cousine
0.6875,288,1287086400,White-tail tropicbird,Cousine
0.4,319,1289764800,White-tail tropicbird,Cousine
0.4444444444444444,349,1292356800,White-tail tropicbird,Cousine
0.8,15,1295035200,White-tail tropicbird,Cousine
0.7142857142857143,46,1297713600,White-tail tropicbird,Cousine
0.7272727272727273,74,1300132800,White-tail tropicbird,Cousine
0.14285714285714285,105,1302811200,White-tail tropicbird,Cousine
0.5714285714285714,135,1305403200,White-tail tropicbird,Cousine
0.14285714285714285,166,1308081600,White-tail tropicbird,Cousine
0.5,196,1310673600,White-tail tropicbird,Cousine
0.2777777777777778,227,1313352000,White-tail tropicbird,Cousine
0.6,258,1316030400,White-tail tropicbird,Cousine
0.9333333333333333,15,1295035200,White-tail tropicbird,Aride
1,46,1297713600,White-tail tropicbird,Aride
0.4666666666666667,74,1300132800,White-tail tropicbird,Aride
0.10526315789473684,105,1302811200,White-tail tropicbird,Aride
0.2777777777777778,135,1305403200,White-tail tropicbird,Aride
0.5217391304347826,166,1308081600,White-tail tropicbird,Aride
0.18181818181818182,196,1310673600,White-tail tropicbird,Aride
0.375,227,1313352000,White-tail tropicbird,Aride
0.7692307692307693,258,1316030400,White-tail tropicbird,Aride
0.43478260869565216,288,1318622400,White-tail tropicbird,Aride
0.23529411764705882,319,1321300800,White-tail tropicbird,Aride
0.038461538461538464,349,1323892800,White-tail tropicbird,Aride
0.35714285714285715,15,1326571200,White-tail tropicbird,Aride
0.6363636363636364,46,1329249600,White-tail tropicbird,Aride
0.15384615384615385,75,1331755200,White-tail tropicbird,Aride
0.23529411764705882,106,1334433600,White-tail tropicbird,Aride
0.21212121212121213,136,1337025600,White-tail tropicbird,Aride
0.5,167,1339704000,White-tail tropicbird,Aride
0.3333333333333333,197,1342296000,White-tail tropicbird,Aride
0.5454545454545454,228,1344974400,White-tail tropicbird,Aride
0.3888888888888889,259,1347652800,White-tail tropicbird,Aride
0.2857142857142857,289,1350244800,White-tail tropicbird,Aride
0.25925925925925924,320,1352923200,White-tail tropicbird,Aride
0.32,350,1355515200,White-tail tropicbird,Aride
0.23809523809523808,15,1358193600,White-tail tropicbird,Aride
0.8,46,1360872000,White-tail tropicbird,Aride
0.4,74,1363291200,White-tail tropicbird,Aride
0,105,1365969600,White-tail tropicbird,Aride
NA,135,1368561600,White-tail tropicbird,Aride
0.47058823529411764,166,1371240000,White-tail tropicbird,Aride
0.05263157894736842,196,1373832000,White-tail tropicbird,Aride
0.23076923076923078,227,1376510400,White-tail tropicbird,Aride
0.7727272727272727,258,1379188800,White-tail tropicbird,Aride
0.8484848484848485,288,1381780800,White-tail tropicbird,Aride
0.7272727272727273,319,1384459200,White-tail tropicbird,Aride
0.30434782608695654,349,1387051200,White-tail tropicbird,Aride
0.8,15,1389729600,White-tail tropicbird,Aride
0.6,46,1392408000,White-tail tropicbird,Aride
1,74,1394827200,White-tail tropicbird,Aride
0,105,1397505600,White-tail tropicbird,Aride
0.28,135,1400097600,White-tail tropicbird,Aride
0.36363636363636365,166,1402776000,White-tail tropicbird,Aride
0,196,1405368000,White-tail tropicbird,Aride
0.5294117647058824,227,1408046400,White-tail tropicbird,Aride
0.7692307692307693,258,1410724800,White-tail tropicbird,Aride
0.4,288,1413316800,White-tail tropicbird,Aride
0.3888888888888889,319,1415995200,White-tail tropicbird,Aride
0.4375,349,1418587200,White-tail tropicbird,Aride
0.5625,15,1421265600,White-tail tropicbird,Aride
0.7,46,1423944000,White-tail tropicbird,Aride
0.3333333333333333,74,1426363200,White-tail tropicbird,Aride
0.4,105,1429041600,White-tail tropicbird,Aride
0.29411764705882354,135,1431633600,White-tail tropicbird,Aride
0.2916666666666667,166,1434312000,White-tail tropicbird,Aride
0,196,1436904000,White-tail tropicbird,Aride
0,227,1439582400,White-tail tropicbird,Aride
0.034482758620689655,258,1442260800,White-tail tropicbird,Aride
0,288,1444852800,White-tail tropicbird,Aride
0,319,1447531200,White-tail tropicbird,Aride
0.14285714285714285,349,1450123200,White-tail tropicbird,Aride
0.3076923076923077,15,1452801600,White-tail tropicbird,Aride
0.3125,46,1455480000,White-tail tropicbird,Aride
0.9,75,1457985600,White-tail tropicbird,Aride
0,106,1460664000,White-tail tropicbird,Aride
0.375,136,1463256000,White-tail tropicbird,Aride
1,167,1465934400,White-tail tropicbird,Aride
0.2222222222222222,197,1468526400,White-tail tropicbird,Aride
0.2631578947368421,228,1471204800,White-tail tropicbird,Aride
0.16666666666666666,259,1473883200,White-tail tropicbird,Aride
0.5714285714285714,289,1476475200,White-tail tropicbird,Aride
0.625,320,1479153600,White-tail tropicbird,Aride
0.75,350,1481745600,White-tail tropicbird,Aride
